,0,1
0,José Dias Quando,NE
1,José Dias Sempre,NE
2,Podiam,NE
3,Barbonos Esta,NE
4,Inválidos,NE
5,Padre Lopes,NE
6,PÚBLICO Entramos,NE
7,SEGREDO De,NE
8,AMIGOS,NE
9,Compreende,NE
10,Otelo,NE
11,GLÓRIA Minha,NE
12,Cosme Anda,NE
13,BENTO,NE
14,Ulisses,NE
15,Curitiba,NE
16,Nenhum,NE
17,Catumbi,NE
18,Vinha,NE
19,Tanto,NE
20,Arcos,NE
21,Podia,NE
22,Corcovado,NE
23,Ezequiel Não,NE
24,Horas Quis,NE
25,Ganha,NE
26,Robespierre Contava,NE
27,Estava,NE
28,Massinissa,NE
29,Cardeal Mastai,NE
30,Fiquei,NE
31,Lisboa,NE
32,Entretanto,NE
33,Seguimos,NE
34,Viviam,NE
35,Era,NE
36,CAPÍTULO LI,NE
37,CABEÇA,NE
38,Campo,NE
39,Enxugou,NE
40,Certos,NE
41,Amanheceu,NE
42,Disse,NE
43,Aplique,NE
44,CAPÍTULO XL,NE
45,Purgatório,NE
46,Combati,NE
47,Costa,NE
48,Pobres,NE
49,Perdera,NE
50,Iago,NE
51,CHEIA DE,NE
52,LXXXIV,NE
53,Nem,NE
54,Grande,NE
55,Voilà,NE
56,Como Abraão,NE
57,Enviuvou,NE
58,Cumpria,NE
59,Ponhamos,NE
60,Catão,NE
61,Cabral,NE
62,Catei,NE
63,CXXXIV,NE
64,Também,NE
65,Sei,NE
66,Levei,NE
67,Prima Justina,NE
68,Quis,NE
69,Barbonos,NE
70,Tais,NE
71,Mas,NE
72,Luís Borges,NE
73,Estás,NE
74,Não,NE
75,Lembre,NE
76,Contei,NE
77,Nesse,NE
78,Bastava,NE
79,JURAMENTO DO,NE
80,Tijuca,NE
81,José Dias Assim,NE
82,VIRTUDE Poucos,NE
83,JUSTINA Na,NE
84,Sim,NE
85,Gostou,NE
86,Enquanto,NE
87,Sábios,NE
88,São João Batista,NE
89,Aqui,NE
90,Mil,NE
91,Talvez,NE
92,Sancha Custa,NE
93,Brasil Ao,NE
94,Brasil,NE
95,Ouvi,NE
96,Santa Teresa Não,NE
97,Europa,NE
98,Quinze,NE
99,CAPÍTULO II,NE
100,Mulheres Patuscas,NE
101,Medicina Morreu,NE
102,Tijolos,NE
103,Escobar,NE
104,Estou,NE
105,Ezequiel Quando,NE
106,Dividi,NE
107,Durante,NE
108,Com,NE
109,Andaraí,NE
110,Batiam,NE
111,Qualquer,NE
112,CXXXIII,NE
113,Escobar Olha Ezequiel,NE
114,Fui,NE
115,Quando,NE
116,Nunca,NE
117,Luciano,NE
118,Engenho Novo Então,NE
119,Azevedo Uma,NE
120,Itaguaí,NE
121,Coisas,NE
122,Depois,NE
123,Rio Grande,NE
124,Virgem Santíssima,NE
125,Subúrbios,NE
126,Joana Sua Miquelina,NE
127,PORTÃO No,NE
128,Ouvidor,NE
129,Comovido,NE
130,CXXXVII,NE
131,SOLUÇÃO Aqui,NE
132,Lidava,NE
133,Cantagalo Um,NE
134,Moleza,NE
135,Afirmou,NE
136,Creio,NE
137,Homeros,NE
138,Petrópolis Dom,NE
139,Janeiro,NE
140,Seria,NE
141,Europa Dito,NE
142,Justina,NE
143,Todos,NE
144,Nada,NE
145,Contou,NE
146,EZEQUIEL Tal,NE
147,Corri,NE
148,Paula,NE
149,Cosme,NE
150,José Dias Ouviu,NE
151,Acaso,NE
152,Entrou,NE
153,Muito,NE
154,Catete Eram,NE
155,EMBARGOS DE,NE
156,Enxuguei,NE
157,Padre Cabral No,NE
158,São Francisco,NE
159,Portanto,NE
160,Ele,NE
161,Acordei,NE
162,Homero,NE
163,CASADA Imagina,NE
164,Olímpio,NE
165,Metidos,NE
166,Bentinho,NE
167,Voltei,NE
168,Fez,NE
169,Céu Que,NE
170,Aquela,NE
171,Visão,NE
172,Papai,NE
173,Capitu Hás,NE
174,Glória Como,NE
