,0,1
0,,JJ
1,São,NNP
2,muito,NN
3,bonitos,NN
4,Vi,NNP
5,lhe,VBZ
6,fazer,NN
7,um,JJ
8,gesto,NN
9,para,NN
10,tirá,NN
11,los,NN
12,outra,JJ
13,vez,NN
14,do,VBP
15,bolso,VB
16,mas,VB
17,não,JJ
18,passou,NNS
19,do,VBP
20,gesto,VB
21,estava,VB
22,amuado,JJ
23,No,NNP
24,dia,NN
25,seguinte,NN
26,entrou,VBZ
27,a,DT
28,dizer,NN
29,de,IN
30,mim,FW
31,nomes,NNS
32,feios,VBP
33,e,JJ
34,acabou,NN
35,alcunhando,IN
36,me,PRP
37,Dom,NNP
38,Casmurro,NNP
39,Os,NNP
40,vizinhos,NN
41,que,NN
42,não,JJ
43,gostam,NN
44,dos,NN
45,meus,NN
46,hábitos,NN
47,reclusos,NN
48,e,NN
49,calados,NN
50,deram,NN
51,curso,NN
52,à,NNP
53,alcunha,NN
54,que,NN
55,afinal,JJ
56,pegou,NN
57,Nem,NNP
58,por,NN
59,isso,NN
60,me,PRP
61,zanguei,VBZ
62,Contei,NNP
63,a,DT
64,anedota,JJ
65,aos,NN
66,amigos,NNS
67,da,VBP
68,cidade,NN
69,e,NN
70,eles,NNS
71,por,VBP
72,graça,NN
73,chamam,NN
74,me,PRP
75,assim,JJ
76,alguns,NNS
77,em,VBP
78,bilhetes,NNS
79,Dom,NNP
80,Casmurro,NNP
81,domingo,NN
82,vou,NN
83,jantar,NN
84,com,NN
85,você,NN
86,.,NNP
87,Vou,NNP
88,para,NN
89,Petrópolis,NNP
90,Dom,NNP
91,Casmurro,NNP
92,a,DT
93,casa,NN
94,é,VBZ
95,a,DT
96,mesma,NN
97,da,NN
98,Renânia,NNP
99,vê,NN
100,se,NN
101,deixas,NN
102,essa,NN
103,caverna,NN
104,do,VBP
105,Engenho,NNP
106,Novo,NNP
107,e,NN
108,vai,NN
109,lá,NN
110,passar,NN
111,uns,JJ
112,quinze,NN
113,dias,NN
114,comigo,NN
115,.,NNP
116,Meu,NNP
117,caro,NN
118,Dom,NNP
119,Casmurro,NNP
120,não,JJ
121,cuide,NN
122,que,NN
123,o,NN
124,dispenso,NN
125,do,VBP
126,teatro,VB
127,amanhã,VB
128,venha,JJ
129,e,NN
130,dormirá,NN
131,aqui,NN
132,na,TO
133,cidade,VB
134,dou,NN
135,lhe,JJ
136,camarote,NN
137,dou,NN
138,lhe,NN
139,chá,NN
140,dou,NN
141,lhe,JJ
142,cama,NN
143,só,NN
144,não,JJ
145,lhe,NN
146,dou,NN
147,moça,NN
148,,NNP
149,.,.
150,Não,NNP
151,consultes,VBZ
152,dicionários,NNS
153,Casmurro,NNP
154,não,RB
155,está,VBD
156,aqui,JJ
157,no,DT
158,sentido,NN
159,que,NN
160,eles,VBZ
161,lhe,JJ
162,dão,NN
163,mas,VBZ
164,no,DT
165,que,NN
166,lhe,VBZ
167,pôs,JJ
168,o,JJ
169,vulgo,NN
170,de,IN
171,homem,FW
172,calado,NN
173,e,NN
174,metido,NN
175,consigo,NN
176,Dom,NNP
177,veio,NN
178,por,NN
179,ironia,NN
180,para,NN
181,atribuir,IN
182,me,PRP
183,fumos,VBP
184,de,FW
185,fidalgo,FW
186,Tudo,NNP
187,por,NN
188,estar,NN
189,cochilando,NN
190,Também,NNP
191,não,CC
192,achei,JJ
193,melhor,NN
194,título,NN
195,para,VBZ
196,a,DT
197,minha,NN
198,narração,NN
199,se,NN
200,não,NN
201,tiver,NN
202,outro,VBP
203,daqui,NN
204,até,NN
205,ao,NN
206,fim,NN
207,do,VBP
208,livro,JJR
209,vai,VB
210,este,NN
211,mesmo,NN
212,O,NNP
213,meu,NN
214,poeta,NN
215,do,VBP
216,trem,VB
217,ficará,VB
218,sabendo,JJ
219,que,NN
220,não,JJ
221,lhe,NN
222,guardo,NN
223,rancor,NN
224,E,NNP
225,com,NN
226,pequeno,NN
227,esforço,FW
228,sendo,NN
229,o,NN
230,título,NN
231,seu,NN
232,poderá,NN
233,cuidar,NN
234,que,NN
235,a,DT
236,obra,JJ
237,é,NN
238,sua,NN
239,Há,NNP
240,livros,VBZ
241,que,JJ
242,apenas,NNS
243,terão,VBP
244,isso,JJ
245,dos,NN
246,seus,NN
247,autores,VBZ
248,alguns,VBZ
249,nem,RB
250,tanto,JJ
251,CAPÍTULO,NNP
252,II,NNP
253,DO,NNP
254,LIVRO,NNP
255,Agora,NNP
256,que,NN
257,expliquei,NN
258,o,NN
259,título,NN
260,passo,VBZ
261,a,DT
262,escrever,NN
