,0,1
0,ÍNDICE,JJ
1,ADVERTÊNCIA,NNP
2,ALIENISTA,NNP
3,TEORIA,NNP
4,DO,NNP
5,MEDALHÃO,NNP
6,CHINELA,NNP
7,TURCA,NNP
8,NA,NNP
9,ARCA,NNP
10,BENEDITA,NNP
11,SEGREDO,NNP
12,DO,NNP
13,BONZO,NNP
14,ANEL,NNP
15,DE,NNP
16,POLÍCRATES,NNP
17,EMPRÉSTIMO,NNP
18,SERENÍSSIMA,NNP
19,REPÚBLICA,NNP
20,ESPELHO,NNP
21,UMA,NNP
22,VISITA,NNP
23,DE,NNP
24,ALCIBÍADES,NNP
25,VERBA,NNP
26,TESTAMENTÁRIA,NNP
27,NOTAS,NNP
28,DO,NNP
29,AUTOR,NNP
30,ADVERTÊNCIA,NNP
31,Este,NNP
32,título,NN
33,Papéis,NNP
34,Avulsos,NNP
35,parece,NN
36,negar,NN
37,livro,NN
38,certa,NN
39,unidade,JJ
40,faz,NN
41,crer,NN
42,autor,NN
43,coligiu,NN
44,vários,NNS
45,escritos,VBP
46,ordem,JJ
47,diversa,NN
48,fim,NN
49,perder,NN
50,verdade,VBD
51,ser,JJR
52,bem,NN
53,Avulsos,NNP
54,vieram,NN
55,aqui,NN
56,passageiros,NN
57,acertam,VBP
58,entrar,JJ
59,mesma,NN
60,hospedaria,NN
61,São,NNP
62,pessoas,NN
63,família,NN
64,obrigação,NN
65,pai,NN
66,fez,NN
67,sentar,NN
68,mesma,NN
69,mesa,NN
70,Quanto,NNP
71,gênero,NN
72,sei,NN
73,diga,NN
74,inútil,NN
75,livro,JJ
76,mãos,NN
77,leitor,NN
78,Direi,NNP
79,somente,NN
80,aqui,NN
81,páginas,NN
82,parecem,NN
83,meros,NNS
84,contos,VBP
85,outras,JJ
86,defendo,NN
87,segundas,NNS
88,dizer,NN
89,leitores,VBZ
90,outras,JJ
91,podem,NN
92,achar,NN
93,nelas,NNS
94,algum,VBP
95,interesse,JJ
96,primeiras,NNS
97,defendo,VBP
98,São,NNP
99,João,NNP
100,Diderot,NNP
101,evangelista,FW
102,descrevendo,NN
103,famosa,NN
104,besta,NN
105,apocalíptica,NN
106,acrescentava,VBP
107,XVII,NNP
108,9,CD
109,),)
110,:,:
111,aqui,JJ
112,sentido,NN
113,sabedoria,NN
114,,NNP
115,.,.
116,Menos,NNP
117,sabedoria,VBD
118,cubro,JJ
119,palavra,NN
120,Quanto,NNP
121,Diderot,NNP
122,ninguém,MD
123,ignora,VB
124,escrevia,JJ
125,contos,NN
126,alguns,VBZ
127,deliciosos,JJ
128,aconselhava,NN
129,amigo,NN
130,escrevesse,NN
131,eis,NN
132,razão,NN
133,enciclopedista,NN
134,faz,NN
135,conto,NN
136,espírito,NN
137,fica,NN
138,alegre,NN
139,tempo,NN
140,escoa,NN
141,conto,NN
